Initialization done, evaluating initial agents...
Initialization done, took 0.00 seconds
Agent: {'x': 94.8552418577961, 'y': 82.9010013293797, 'level': np.str_('b')}, Fitness: 15870.092929314807
Agent: {'x': 102.87079696934337, 'y': 101.0407161277152, 'level': np.str_('b')}, Fitness: 20791.627184709392
Agent: {'x': 101.65698137103765, 'y': 80.71830981653275, 'level': np.str_('a')}, Fitness: 16859.587401109264
Agent: {'x': 104.00599240064031, 'y': 91.48683112280439, 'level': np.str_('b')}, Fitness: 19187.08672413458
Agent: {'x': 94.77121833401443, 'y': 91.22353948340366, 'level': np.str_('c')}, Fitness: 17293.31798039354
Agent: {'x': 91.30708347756895, 'y': 105.49333225664928, 'level': np.str_('b')}, Fitness: 19465.826643791544
Agent: {'x': 102.87079696934337, 'y': 101.0407161277152, 'level': np.str_('b')}, Fitness: 20791.627184709392
Agent: {'x': 102.30400100348805, 'y': 101.68158588317884, 'level': np.str_('b')}, Fitness: 20805.25352903996
Agent: {'x': 93.48134768357131, 'y': 115.96163655014495, 'level': np.str_('b')}, Fitness: 22185.863516124657
Agent: {'x': 92.92536380833467, 'y': 76.63386832506079, 'level': np.str_('a')}, Fitness: 14517.873013374108
